task_id,task_type,task_condition,task_value,reward,active_value,user_back_active_value,name,content,content_param,link
2000014,2,97,1,1:2:10,30,30,Daily Bonus,Watch ad 1 time,,109|1
2000003,2,2,1,10:20,20,20,每日登陆,Login today,,
2000004,2,92,1,5:3000004:1,20,20,Daily Summon,Summon {0} times,1,8
2000005,2,25,1,1:2:10,20,20,Quick Combat,Quick-Combat 1 time,,4
2000006,2,23,1,5:3000005:1,30,30,Daily Top-up,Recharge any amount today,,105|1
2000007,2,11,1,1:3:200,20,20,Daily Smelting,Smelt a piece of gear,,102|0
2000008,2,13,1,1:4:300,10,10,Daily Enhancing,Enhance any piece of gear 1 time,,1|0
2000009,2,93,1,1:3:300,20,20,Daily Craft,Craft 1 piece of gear or artifact,,102|1
2000010,2,26,1,1:9:50,20,20,Daily Contest,Challenge the Arena 1 time,,3|0
2000011,2,6,1,5:3000007:5,10,10,Daily Training,Train any Angel 1 time,,1|2
2000012,2,48,1,5:3000007:5,10,10,Daily Sweeping,Raid Sky Tower 1 time,,10
2000013,2,33,1,1:1:10000,10,10,Daily Adventures,Start 1 adventure,,5
2000002,2,51,1,5:1000004:3,10,10,Daily Trial,Star Trial 1 time,,11
2000015,2,94,1,5:3000006:10,10,10,Daily Upgrade,Upgrade any angel once,,1|0
2000016,2,116,1,1:15:30,10,10,Daily Secret,Secret abyss battle 1 time,,18
2000017,2,122,1,1:1:1000000,10,10,Wish,Wish 1 time,,20
2000018,2,343,1,1:2:10,10,10,每日点赞,Like a player 1 time,,19
